"Tipo_cultivo","Año","Id_municipio","Municipio","Id_cultivo","Cultivo","Ciclo","Hectareas_sembradas","Hectareas_cosechadas","Produccion_toneladas","Rendimiento_toneladas/hectareas"
"Frutales","2,000","76,001","Cali","2,040,202","Aguacate","Anual","10","8","48","6"
"Frutales","2,000","76,001","Cali","20,436","Cítricos","Anual","75","10","150","15"
"Frutales","2,000","76,001","Cali","2,043,000","Guayaba","Anual","63","43","473","11"
"Frutales","2,000","76,001","Cali","2,043,700","Lulo","Anual","10","9","54","6"
"Frutales","2,000","76,001","Cali","2,044,700","Mora","Anual","10","8","48","6"
"Frutales","2,000","76,001","Cali","2,046,300","Tomate de Árbol","Anual","6","4","28","7"
"Frutales","2,000","76,020","Alcalá","2,040,202","Aguacate","Anual","10","10","60","6"
"Frutales","2,000","76,020","Alcalá","20,436","Cítricos","Anual","405.4","360.4","4,324.8","12"
"Frutales","2,000","76,020","Alcalá","2,045,601","Piña","Anual","28.2","14.4","1,152","80"
"Frutales","2,000","76,036","Andalucia","2,040,202","Aguacate","Anual","4","4","40","10"
"Frutales","2,000","76,036","Andalucia","2,040,902","Banano","Anual","50","50","325","6.5"
"Frutales","2,000","76,036","Andalucia","20,436","Cítricos","Anual","281","175.9","3,781.85","21.5"
"Frutales","2,000","76,036","Andalucia","2,042,900","Guanábana","Anual","5.5","5.5","60.5","11"
"Frutales","2,000","76,036","Andalucia","2,043,000","Guayaba","Anual","5.5","5.52","66.24","12"
"Frutales","2,000","76,036","Andalucia","2,044,500","Maracuyá","Anual","5.5","5.5","79.75","14.5"
"Frutales","2,000","76,036","Andalucia","2,045,301","Papaya","Anual","3","3","120","40"
"Frutales","2,000","76,036","Andalucia","2,046,600","Vid","Anual","1","1","6","6"
"Frutales","2,000","76,041","Ansermanuevo","2,040,202","Aguacate","Anual","14","14","140","10"
"Frutales","2,000","76,041","Ansermanuevo","2,040,902","Banano","Anual","52","42.5","340","8"
"Frutales","2,000","76,041","Ansermanuevo","20,436","Cítricos","Anual","18","18","324","18"
"Frutales","2,000","76,041","Ansermanuevo","2,042,900","Guanábana","Anual","13","6","90","15"
"Frutales","2,000","76,041","Ansermanuevo","2,044,201","Mango","Anual","5","5","10","2"
"Frutales","2,000","76,041","Ansermanuevo","2,044,700","Mora","Anual","14","8","40","5"
"Frutales","2,000","76,041","Ansermanuevo","2,045,301","Papaya","Anual","4","4","60","15"
"Frutales","2,000","76,041","Ansermanuevo","2,046,300","Tomate de Árbol","Anual","1.7","1.2","3.96","3.3"
"Frutales","2,000","76,054","Argelia","20,436","Cítricos","Anual","1.5","1.5","12","8"
"Frutales","2,000","76,054","Argelia","2,043,700","Lulo","Anual","63","4.5","18","4"
"Frutales","2,000","76,054","Argelia","2,044,700","Mora","Anual","2","2","8","4"
"Frutales","2,000","76,054","Argelia","2,046,300","Tomate de Árbol","Anual","1","0","0","0"
"Frutales","2,000","76,100","Bolivar","2,040,202","Aguacate","Anual","4","4","28","7"
"Frutales","2,000","76,100","Bolivar","2,040,902","Banano","Anual","29","29","348","12"
