"Tipo_cultivo","Anio","Id_municipio","Municipio","Id_cultivo","Cultivo","Ha_sembradas","Ha_cosechadas","Produccion_t","Rendimiento_t_ha","Atipico_rend"
"Frutales",2000,"76001","Cali","2040202","Aguacate",10,8,48,6,FALSE
"Frutales",2000,"76001","Cali","20436","Cítricos",75,10,150,15,FALSE
"Frutales",2000,"76001","Cali","2043000","Guayaba",63,43,473,11,FALSE
"Frutales",2000,"76001","Cali","2043700","Lulo",10,9,54,6,FALSE
"Frutales",2000,"76001","Cali","2044700","Mora",10,8,48,6,FALSE
"Frutales",2000,"76001","Cali","2046300","Tomate de Árbol",6,4,28,7,FALSE
"Frutales",2000,"76020","Alcalá","2040202","Aguacate",10,10,60,6,FALSE
"Frutales",2000,"76020","Alcalá","20436","Cítricos",405.4,360.4,4324.8,12,FALSE
"Frutales",2000,"76020","Alcalá","2045601","Piña",28.2,14.4,1152,80,FALSE
"Frutales",2000,"76036","Andalucia","2040202","Aguacate",4,4,40,10,FALSE
"Frutales",2000,"76036","Andalucia","2040902","Banano",50,50,325,6.5,FALSE
"Frutales",2000,"76036","Andalucia","20436","Cítricos",281,175.9,3781.85,21.5,FALSE
"Frutales",2000,"76036","Andalucia","2042900","Guanábana",5.5,5.5,60.5,11,FALSE
"Frutales",2000,"76036","Andalucia","2044500","Maracuyá",5.5,5.5,79.75,14.5,FALSE
"Frutales",2000,"76036","Andalucia","2045301","Papaya",3,3,120,40,FALSE
"Frutales",2000,"76036","Andalucia","2046600","Vid",1,1,6,6,FALSE
"Frutales",2000,"76041","Ansermanuevo","2040202","Aguacate",14,14,140,10,FALSE
"Frutales",2000,"76041","Ansermanuevo","2040902","Banano",52,42.5,340,8,FALSE
"Frutales",2000,"76041","Ansermanuevo","20436","Cítricos",18,18,324,18,FALSE
"Frutales",2000,"76041","Ansermanuevo","2042900","Guanábana",13,6,90,15,FALSE
"Frutales",2000,"76041","Ansermanuevo","2044201","Mango",5,5,10,2,FALSE
"Frutales",2000,"76041","Ansermanuevo","2044700","Mora",14,8,40,5,FALSE
"Frutales",2000,"76041","Ansermanuevo","2045301","Papaya",4,4,60,15,FALSE
"Frutales",2000,"76041","Ansermanuevo","2046300","Tomate de Árbol",1.7,1.2,3.96,3.3,FALSE
"Frutales",2000,"76054","Argelia","20436","Cítricos",1.5,1.5,12,8,FALSE
"Frutales",2000,"76054","Argelia","2043700","Lulo",63,4.5,18,4,FALSE
"Frutales",2000,"76054","Argelia","2044700","Mora",2,2,8,4,FALSE
"Frutales",2000,"76054","Argelia","2046300","Tomate de Árbol",1,0,0,0,FALSE
"Frutales",2000,"76100","Bolivar","2040202","Aguacate",4,4,28,7,FALSE
"Frutales",2000,"76100","Bolivar","2040902","Banano",29,29,348,12,FALSE
"Frutales",2000,"76100","Bolivar","20436","Cítricos",11.3,11.3,226,20,FALSE
"Frutales",2000,"76100","Bolivar","2042800","Granadilla",340,196,2940,15,FALSE
"Frutales",2000,"76100","Bolivar","2042900","Guanábana",5,5,50,10,FALSE
"Frutales",2000,"76100","Bolivar","2043000","Guayaba",332,332,3984,12,FALSE
"Frutales",2000,"76100","Bolivar","2043700","Lulo",75,70,350,5,FALSE
"Frutales",2000,"76100","Bolivar","2044500","Maracuyá",31,27,391.5,14.5,FALSE
"Frutales",2000,"76100","Bolivar","2044700","Mora",25,20,100,5,FALSE
"Frutales",2000,"76100","Bolivar","2045301","Papaya",20,16,432,27,FALSE
"Frutales",2000,"76100","Bolivar","2045601","Piña",36,35,2800,80,FALSE
"Frutales",2000,"76100","Bolivar","2045700","Pitaya",9,5,25,5,FALSE
"Frutales",2000,"76100","Bolivar","2046300","Tomate de Árbol",17,15,105,7,FALSE
"Frutales",2000,"76100","Bolivar","2046600","Vid",56.3,56.3,886.72,15.75,FALSE
"Frutales",2000,"76109","Buenaventura","2040902","Banano",121,90,1215,13.5,FALSE
"Frutales",2000,"76109","Buenaventura","2040901","Bananito",357.5,127,1270,10,FALSE
"Frutales",2000,"76109","Buenaventura","2041000","Borojó",813.5,605,2420,4,FALSE
"Frutales",2000,"76109","Buenaventura","2041600","Chontaduro",3463.5,3127,9381,3,FALSE
"Frutales",2000,"76109","Buenaventura","2041900","Coco",330.5,190,2280,12,FALSE
"Frutales",2000,"76109","Buenaventura","2043000","Guayaba",7,7,84,12,FALSE
"Frutales",2000,"76111","Buga","2040202","Aguacate",8,8,96,12,FALSE
"Frutales",2000,"76111","Buga","2040902","Banano",73,70,700,10,FALSE
"Frutales",2000,"76111","Buga","2041100","Brevo",2,2,4,2,FALSE
"Frutales",2000,"76111","Buga","20436","Cítricos",53,52,624,12,FALSE
"Frutales",2000,"76111","Buga","2042200","Curuba",50,42,252,6,FALSE
"Frutales",2000,"76111","Buga","2042800","Granadilla",4,3,30,10,FALSE
"Frutales",2000,"76111","Buga","2042900","Guanábana",60,47.5,522.5,11,FALSE
"Frutales",2000,"76111","Buga","2043000","Guayaba",29,27,621,23,TRUE
"Frutales",2000,"76111","Buga","2043700","Lulo",25,16,64,4,FALSE
"Frutales",2000,"76111","Buga","2044201","Mango",18,18,126,7,FALSE
"Frutales",2000,"76111","Buga","2044500","Maracuyá",7.5,5,50,10,FALSE
"Frutales",2000,"76111","Buga","2044700","Mora",55,53,371,7,FALSE
